sweep,jitter,noise_std,n,success,clearance_mean,clearance_median,clearance_q05,clearance_min,commit_rate
context_jitter,0.0,0.3,100,1.0,0.048537395534823745,0.04950522354783443,0.04375363608650071,0.0380379221194993,0.5
context_jitter,0.04,0.3,100,1.0,0.047958528164106645,0.04951190248699161,0.03953554337177277,0.022124093745573836,0.43
context_jitter,0.08,0.3,100,0.99,0.0477257426940914,0.049499220216680906,0.03585084426680343,0.016739370339483917,0.45
context_jitter,0.12,0.3,100,0.99,0.047480297211246573,0.049496964163470464,0.037225948551570624,0.015131837345969956,0.5
context_jitter,0.16,0.3,100,0.97,0.04678978005750821,0.04949534809344336,0.03591093679456332,0.01433766089951194,0.48
context_jitter,0.2,0.3,100,0.98,0.04691904986856561,0.04950751674444523,0.03471175890831431,0.013831656035974749,0.5
init_noise,0.08,0.05,100,1.0,0.04965317447640207,0.049628617046530044,0.04947548016391641,0.04941610925759804,0.06
init_noise,0.08,0.1,100,1.0,0.04966325800387136,0.04964692483207672,0.04948389488997869,0.04920796494327745,0.17
init_noise,0.08,0.2,100,1.0,0.04904977704563777,0.04958113848563647,0.049272433602690874,0.0352198054130925,0.3
init_noise,0.08,0.3,100,0.99,0.0477257426940914,0.049499220216680906,0.03585084426680343,0.016739370339483917,0.45
init_noise,0.08,0.4,100,0.94,0.04431163812553917,0.04941857574456268,0.018615763191958082,-0.01999539237974049,0.61
init_noise,0.08,0.5,100,0.94,0.042668063656966265,0.04911669194667473,0.019790791333615557,-0.016932407990173315,0.71
